"color","ME","pvalue","module_size","FDR"
"green","ME5",0.00111758387484738,553,0.00949946293620272
"yellow","ME4",0.000607528806818477,918,0.00949946293620272
"brown","ME3",0.0108433202169864,1569,0.0614454812295898
"greenyellow","ME11",0.017985185636427,369,0.0764370389548145
"blue","ME2",0.0225737384132803,2399,0.0767507106051529
"red","ME6",0.0310001585171717,510,0.0878337824653197
"magenta","ME9",0.0405427570086089,455,0.0984609813066217
"pink","ME8",0.183392691905306,471,0.389709470298775
"turquoise","ME1",0.25670674249663,5783,0.484890513604745
"grey60","ME17",0.360890640366415,117,0.581036582622167
"midnightblue","ME15",0.375964847579049,152,0.581036582622167
"tan","ME12",0.46047859687915,330,0.652344678912129
"black","ME7",0.629474716958256,493,0.823159245253104
"lightcyan","ME16",0.774322773922231,123,0.831393996379826
"purple","ME10",0.712450507374661,442,0.831393996379826
"salmon","ME13",0.782488467181013,316,0.831393996379826
"cyan","ME14",0.953758129898172,233,0.953758129898172
